Frequency,Amplitude
205600,5.992233289815022e-06
205700,6.872055321190371e-06
205800,7.872670416534418e-06
205900,2.850616492343823e-06
206000,5.233888875915091e-06
206100,7.354172385510478e-06
206200,5.775137126086184e-06
206300,4.416396431479938e-06
206400,8.464357482194382e-06
206500,6.2460069943889115e-06
206600,3.436587314852788e-06
206700,4.486658117235421e-06
206800,6.967140874979143e-06
206900,6.878889805890555e-06
207000,6.9614360466214914e-06
207100,9.10031886611581e-06
207200,4.970632158677305e-06
207300,5.093307662701207e-06
207400,2.2112004801889253e-06
207500,5.702480150539059e-06
207600,3.2932535680509173e-06
207700,1.9897594082845676e-06
207800,4.154303270587559e-06
207900,8.933253985211262e-07
208000,4.8696784606678875e-06
208100,2.4934277692874647e-06
208200,4.37832066371497e-06
208300,5.144808296988624e-06
208400,5.173853953579501e-06
208500,4.681389210532042e-06
208600,7.729440214185054e-06
208700,5.235574844143797e-06
208800,4.744049324079428e-06
208900,4.586600133198021e-06
209000,4.849962852540192e-06
209100,4.889467021972634e-06
209200,4.555028000300635e-06
209300,4.803090569673664e-06
209400,2.9851922507992445e-06
209500,4.083824805024028e-06
209600,1.7643157344723895e-06
209700,6.302964146252937e-06
209800,3.29512715464024e-06
209900,6.473543950526827e-06
210000,7.117108311573566e-06
210100,5.370469616908259e-06
210200,4.579639084018093e-06
210300,3.1522518683964806e-06
210400,6.486340178882884e-06
210500,3.3040054137910886e-06
210600,5.6966236862469156e-06
210700,6.851913488945973e-06
210800,4.557910502084624e-06
210900,8.445003558827256e-06
211000,2.2267804793463188e-06
211100,1.3352039183452769e-06
211200,1.6436227363965733e-06
211300,4.21540189089081e-06
211400,6.07224496220424e-06
211500,6.896164728076573e-06
211600,4.9849329337345955e-06
211700,3.3457718936184334e-06
211800,7.140878890297155e-06
211900,3.3658961503677e-06
212000,6.093332205060216e-06
212100,7.992909920787237e-06
212200,4.286662809075912e-06
212300,4.7050510861982445e-06
212400,2.849821455086322e-06
212500,5.732538781443772e-06
212600,3.3751315671064203e-06
212700,1.7051292986825558e-06
212800,7.109877978601879e-07
212900,5.5206359635236115e-06
213000,4.178595190167021e-06
213100,3.872531332207001e-06
213200,1.711630504860613e-06
213300,3.979900911151921e-06
213400,3.9543282747275685e-06
213500,4.484334905607696e-06
213600,6.789676171301819e-06
213700,4.216225832838353e-06
213800,4.915864327423117e-06
213900,4.085576680016497e-06
214000,5.369878309433462e-06
214100,3.0404784230466344e-06
214200,2.9307606428225005e-06
214300,6.22512081464694e-06
214400,4.346662474833683e-06
214500,1.7767438487763215e-06
214600,4.678662446008624e-06
214700,4.670587510803171e-06
214800,4.501850641822729e-06
214900,8.161603932718548e-06
215000,3.615000196221564e-06
215100,3.087552535326682e-06
215200,5.011999427226175e-07
215300,6.223710101082031e-06
215400,2.9120170136121423e-06
215500,6.2905295810761176e-06
215600,7.782077647555274e-06
215700,2.5818088175885576e-06
215800,3.074100137633139e-06
215900,1.5465718234302395e-06
216000,4.043403304206131e-06
216100,7.316198864309854e-06
216200,5.870774439714848e-06
216300,3.4963748391746387e-06
216400,2.275370887000353e-06
216500,2.848837812609848e-06
216600,3.872839296169213e-06
216700,8.314374992515316e-07
216800,4.2846626157381785e-06
216900,4.392924103292822e-06
217000,3.1424753348434132e-06
217100,2.139627840944699e-06
217200,3.575491264274733e-06
217300,1.0179840002199525e-06
217400,3.460704680348846e-06
217500,2.3995051859529884e-06
217600,1.760068829509003e-06
217700,5.082832878955274e-06
217800,3.4090518378366926e-06
217900,6.088613286378179e-06
218000,7.961558430015393e-06
218100,3.131454532719442e-06
218200,5.80351986707333e-06
218300,7.209874290985449e-06
218400,4.822073477208297e-06
218500,5.392645221950489e-06
218600,5.819742298370255e-06
218700,2.5258206018969047e-06
218800,6.694967194633925e-06
218900,6.104195319614408e-06
219000,3.5826764722670278e-06
219100,3.480241501232727e-06
219200,3.1302450668880187e-06
219300,2.2335521264308398e-06
219400,3.182431969149446e-06
219500,4.3705367703839246e-06
219600,1.6723957368698216e-06
219700,1.9300634861728636e-06
219800,6.661840099373478e-06
219900,2.0287573502429206e-06
